Reference in main table, Cite, doi
Delo 1935, Delo D.M. (1935). A revision of the phacopid trilobites. Journal of Paleontology 9 402-420, https://www.jstor.org/stable/1298148
Delo 1940, Delo D.M.(1940). Phacopid trilobites of North America: Special Paper of the Geological Society of America v.29 vii + 135 p, https://doi.org/10.1130/SPE29-p1
Ebach MacNamara 2002, Ebach M.C. MacNamara K.J. (2002). A systematic revision of the family Harpetidae (Trilobita). Records of the Western Australian Museum (21) 235-267, https://doi.org/10.18195/issn.0312-3162.21(3).2002.235-267
Ebbestad 1999, Ebbestad JO.R. (1999). Trilobites of the Tremadoc Bjørkåsholmen Formation in the Oslo Region Norway. Fossils Strata No. 47 pp. l-ll8. Oslo, 
Edgecombe Ramsk öld 1994, Edgecombe G.D. Ramsk öld L. (1994). Earliest Devonian phacopide trilobites from central Bolivia. Paläont. Z. 68 397-410, https://doi.org/10.1007/BF02991351
Edgecombre Wright 2004, Edgecombe G. D. Wright A. J. (2004). Silicified early devonian trilobites from Brogans Creek New South Wales. Proceedings of the Linnean Society of New South Wales 124 177-188, https://doi.org/10.1080/03115518608619159
Eldredge Branisa 1980, Eldredge N. Branisa L. (1980). Calmoniid trilobites of the Lower Devonian Scaphiocoelia zone of Bolivia with remarks on related species. Bulletin of the AMNH 165 article 2 pp. 1-235, https://doi.org/10.1016/S0016-6995(94)80257-2
Eldregde 1972, Eldredge N. (1972). Morphology Relationships of Bouleia Kozlowski 1923 (Trilobita Calmoniidae). Journal of Paleontology 46(1) 140-151, http://www.jstor.org/stable/1302924
Eldregde 1973, Eldredge. N. (1973). Systematics of Lower and lower Middle Devonian species of the trilobite Phacops Emmerich in North America. Bulletin of the American Museum of Natural History 151 285-338, http://hdl.handle.net/2246/599
Esteban Tortello 2007, Esteban S.B. Tortello M.F. (2007). Latest Cambrian Sedimentary Settings Trilobite Faunas from the Western Cordillera Oriental Argentina. Memoirs of the Association of Australasian Palaeontologists 431, 
Esteban Tortello 2009, Esteban S.B. Tortello M.F. (2009). Sedimentologia y paleontologia de la Formación Santa Rosita (Miembros Tilcara y Casa Colorada C mbrico Tardio) en la región de Iruya provincia de Salta. Acta geológica lilloana 21 (2) 129-153, 
Feist 2019, Feist R. (2019). Post-Kellwasser event recovery and diversification of phacopid trilobites in the early Famennian (Late Devonian). Bulletin of Geosciences 94 1-22, https://doi.org/10.3140/bull.geosci.1727
Feist Schindler 1994, Feist R. Schindler E. (1994). Trilobites during the Frasnian Kellwasser crisis in European Late Devonian cephalopod limestones. Cour. Forsch.-Inst. Senckenberg 169 195-223, 
Feist Lerosey-Aubril 2005, Feist R. Lerosey-Aubril R. (2005). The type species of Cyrtosymbole the oldest (Famennian) cyrtosymboline trilobites. Acta Palaeontologica Polonica 50 (3) 465-475, 
Feist Lerosey-Aubril 2010, Feist R. Lerosey-Aubril R. Johnson R. (2010). Coaptative devices enrollment life habits in Paralejurus a particular case in scutelluid trilobites. Palaeobio Palaeoenv 90 125-137, https://doi.org/10.1007/s12549-010-0025-1
Feist McNamara 2013, Feist R. Mcnamara K.J. (2013) Patterns of evolution extinction in proetid trilobites during the late Devonian mass extinction event Canning Basin Western Australia. Palaeontology 56 229-259, https://doi.org/10.1111/j.1475-4983.2012.01191.x
